candidate_id,model_type,epoch,learning_rate,train_accuracy,test_accuracy,train_loss,test_loss
exp-tiny-patch-attention,tiny_patch_transformer,22,0.21602098,0.2805,0.288,2.184321,2.186985
exp-tiny-patch-attention,tiny_patch_transformer,23,0.21494088,0.275,0.292,2.18064,2.183416
exp-tiny-patch-attention,tiny_patch_transformer,24,0.21386617,0.2855,0.304,2.176991,2.179831
exp-mlp-tanh-64,mlp,1,0.16,0.1005,0.102,4.341809,4.468418
exp-mlp-tanh-64,mlp,2,0.1592,0.843,0.82,0.742809,0.741526
exp-mlp-tanh-64,mlp,3,0.158404,0.8795,0.854,0.567254,0.581423
exp-mlp-tanh-64,mlp,4,0.15761198,0.8895,0.87,0.481008,0.51244
exp-mlp-tanh-64,mlp,5,0.15682392,0.9025,0.88,0.421999,0.4655
exp-mlp-tanh-64,mlp,6,0.1560398,0.9115,0.882,0.385412,0.441123
exp-mlp-tanh-64,mlp,7,0.1552596,0.917,0.886,0.355129,0.422484
exp-mlp-tanh-64,mlp,8,0.1544833,0.9185,0.89,0.333372,0.415432
exp-mlp-tanh-64,mlp,9,0.15371089,0.929,0.89,0.310122,0.401587
exp-mlp-tanh-64,mlp,10,0.15294233,0.9305,0.888,0.29329,0.391476
exp-mlp-tanh-64,mlp,11,0.15217762,0.9325,0.882,0.286817,0.3987
exp-mlp-tanh-64,mlp,12,0.15141673,0.94,0.888,0.266522,0.385414
exp-mlp-tanh-64,mlp,13,0.15065965,0.945,0.892,0.253012,0.378839
exp-mlp-tanh-64,mlp,14,0.14990635,0.9515,0.9,0.241386,0.377707
exp-mlp-tanh-64,mlp,15,0.14915682,0.951,0.894,0.231745,0.370925
exp-mlp-tanh-64,mlp,16,0.14841104,0.9515,0.888,0.223433,0.373434
exp-mlp-tanh-64,mlp,17,0.14766898,0.9495,0.884,0.216939,0.371477
exp-mlp-tanh-64,mlp,18,0.14693063,0.958,0.9,0.206029,0.365937
exp-mlp-tanh-64,mlp,19,0.14619598,0.9595,0.9,0.198983,0.368654
exp-mlp-tanh-64,mlp,20,0.145465,0.959,0.896,0.195067,0.367639
exp-mlp-tanh-64,mlp,21,0.14473768,0.963,0.9,0.18762,0.367975
exp-mlp-tanh-64,mlp,22,0.14401399,0.9635,0.894,0.181173,0.371175
